type,frame,parent,children,x,y,tid,from,to
division,10,2151.0,3426;3427,337.3180542563143,550.2525724976614,,,
division,10,2152.0,3428,103.08381265406737,554.7362366474938,,,
division,10,2153.0,3429;3430,1214.4922770303936,560.9476831091181,,,
division,10,2155.0,3431,1488.0531443755535,567.7945084145261,,,
division,10,2157.0,3432;3433,881.2851674641148,569.8818181818182,,,
division,10,2163.0,3434;3435,240.15862068965518,564.2896551724137,,,
division,10,2165.0,3436;3437,1372.6549828178695,570.8824742268041,,,
division,10,2170.0,3438;3439,301.1031837360951,580.4656693517453,,,
division,10,2171.0,3440;3441,600.1483300589391,567.8074656188605,,,
division,10,2175.0,3442;3443,1612.1455836662228,593.178872614292,,,
division,10,2179.0,3444,355.44462809917354,577.9545454545455,,,
division,10,2187.0,3445;3446,495.54327563249,586.9254327563249,,,
division,10,2194.0,3447;3448,423.0717260527534,598.8107357704766,,,
division,10,2196.0,3449,1510.698113207547,600.0417789757413,,,
division,10,2199.0,3450,529.7089058524173,601.8763358778626,,,
division,10,2206.0,3451;3452,983.7124842370744,608.360655737705,,,
division,10,2207.0,3453,457.68702814001375,614.0542210020591,,,
division,10,2208.0,3454;3455,1441.2593917710196,619.2987477638641,,,
division,10,2212.0,3456,1407.8491343775763,613.0090684253915,,,
division,10,2213.0,3457;3458,826.8443579766537,618.3218454697054,,,
division,10,2217.0,3459;3460,1301.289932885906,621.0590604026845,,,
division,10,2219.0,3461;3462,14.430470347648262,616.7494887525562,,,
division,10,2220.0,3463;3464,1045.9970566593083,616.3112582781457,,,
division,10,2223.0,3465,1079.4148073022313,630.1937119675456,,,
division,10,2230.0,3466;3467,150.20263591433277,625.1919275123558,,,
division,10,2231.0,3468;3469,283.33102012491327,626.1616932685635,,,
division,10,2234.0,3470,185.69470827679783,637.1397557666214,,,
division,10,2235.0,3471,1331.5332480818415,643.0287723785166,,,
division,10,2237.0,3472;3473,396.4096385542169,636.4796686746988,,,
division,10,2238.0,3474;3475,896.5086206896551,638.9668435013263,,,
division,10,2241.0,3476;3477,953.5765247410817,638.180667433832,,,
division,10,2243.0,3478;3479,1609.3361753958586,642.8349573690621,,,
division,10,2248.0,3480,23.138336347197107,643.4520795660036,,,
division,10,2251.0,3481;3482,1388.6813186813188,653.7637362637363,,,
division,10,2253.0,3483;3484,354.09311424100156,654.3857589984351,,,
division,10,2256.0,3485,56.7163179916318,650.8234309623431,,,
division,10,2257.0,3486,432.6196226415094,649.7962264150943,,,
division,10,2264.0,3487,1273.6872832369943,663.0919075144509,,,
division,10,2280.0,3488,378.2415014164306,673.7556657223796,,,
division,10,2289.0,3489,593.8384037929673,699.1351244567364,,,
division,10,2292.0,3490;3491,1593.4599627560522,683.8472998137803,,,
division,10,2295.0,3492;3493,1689.4964412811387,685.3078291814946,,,
division,10,2299.0,3494;3495,1099.8903394255874,694.4902088772845,,,
division,10,2302.0,3496;3497,1201.29179331307,704.4817629179331,,,
division,10,2307.0,3498;3499,1374.7385570209465,696.6687354538402,,,
division,10,2308.0,3500;3501,696.0468384074942,703.8688524590164,,,
division,10,2310.0,3502;3503,1024.644845748683,701.9623777276147,,,
division,10,2319.0,3504;3505,435.15426587301585,718.0744047619048,,,
division,10,2328.0,3506,719.5369551484523,729.2147820593809,,,
division,10,2329.0,3507,1049.698285101822,725.8338692390139,,,
division,10,2330.0,3508;3509,1671.0939257592802,729.9566929133858,,,
division,10,2331.0,3510;3511,1337.5730145175064,722.395388556789,,,
division,10,2335.0,3512,1225.8345481049562,729.7951895043732,,,
division,10,2337.0,3513;3514,545.2474093264249,724.8568652849741,,,
division,10,2341.0,3515;3516,943.9827044025158,735.1766247379455,,,
division,10,2342.0,3517;3518,991.0691868758915,731.4201141226819,,,
division,10,2343.0,3519;3520,230.03633360858794,733.0454170107349,,,
division,10,2356.0,3521;3522,1402.8635112823335,754.2575674188222,,,
division,10,2357.0,3523;3524,1696.6313559322034,766.2551452784504,,,
division,10,2361.0,3525;3526,344.91237113402065,759.9237113402062,,,
division,10,2367.0,3527,1004.2761613067892,763.6523736600307,,,
division,10,2372.0,3528,446.02,766.9358823529411,,,
