prev,cur,dr,dc,mag,inlier_frac,dr_stage,dc_stage,mag_stage,cause_guess
86,87,-11.946723796426795,0.012349612568840485,11.946730179469228,0.9798234552332913,0.0,0.0,0.0,unknown
87,88,6.550818925376092,-3.281231369283603,7.326643698982251,0.9412515964240102,0.0,0.0,0.0,unknown
88,89,7.036063645907348,2.755944014379395,7.556548090209749,0.9655396618985695,0.0,0.0,0.0,unknown
89,90,-12.453967215457396,1.99315269901183,12.612452461169706,0.982535575679172,0.0,0.0,0.0,unknown
90,91,-11.75863595863575,-1.3645921386306554,11.837551744872513,0.9675955930006481,0.0,0.0,0.0,unknown
91,92,-8.568775928672437,0.11131306603641633,8.569498906847857,0.9787798408488063,0.0,0.0,0.0,unknown
92,93,-8.45865964753989,0.1799414387858178,8.460573382124403,0.9720052083333334,0.0,0.0,0.0,unknown
93,95,-16.852213161474083,2.7298282535075487,17.0718789456055,0.8403755868544601,0.0,0.0,0.0,unknown
95,96,-6.617821552199757,2.5359876782929405,7.087086538290133,0.985440105890139,0.0,0.0,0.0,unknown
96,97,-0.21275089323262364,0.8750850721245627,0.9005758302478089,0.9700996677740864,-26.559283493182505,-13.950070261953753,29.99999999974472,unknown
97,99,-18.033196240200823,-2.3978626790562885,18.191918867046546,0.8569636135508155,0.0,0.0,0.0,unknown
99,102,-14.764914696538654,-3.177945677961361,15.103047531148686,0.8623326959847036,0.0,0.0,0.0,unknown
102,103,-7.980709555060798,-2.6218789617646507,8.40035560511475,0.9973924380704041,0.0,0.0,0.0,unknown
103,104,-2.519955510771979,0.6427261297366158,2.600629280408162,0.9948387096774194,0.0,0.0,0.0,unknown
104,105,-4.167939201519459,-2.6547075672507674,4.941577628165033,0.9935483870967742,0.0,0.0,0.0,unknown
105,106,-5.205392291186257,-1.5456626626576053,5.430025964198984,0.9948387096774194,0.0,0.0,0.0,unknown
106,107,-7.351537312259097,1.0720727876027922,7.429296125169338,0.9839434810533076,0.0,0.0,0.0,unknown
107,109,-9.367405097496942,4.399820538930783,10.349236640226604,0.9748062015503876,0.0,0.0,0.0,unknown
109,110,-5.2841285448514554,-0.7666421108722261,5.339452650288846,0.9928432010409889,0.0,0.0,0.0,unknown
110,111,-10.223782738097668,-1.1244674686014946,10.285434388676391,0.9910025706940874,0.0,0.0,0.0,unknown
111,113,-1.9096775491555036,-2.859045393055794,3.43816941137317,0.9903412749517064,0.0,0.0,0.0,unknown
113,114,-5.615240824154853,2.778207624411124,6.264931533352249,0.9903100775193798,0.0,0.0,0.0,unknown
114,115,-4.766787229181972,1.5929537877323128,5.025909097680047,0.9954486345903771,0.0,0.0,0.0,unknown
115,118,-12.287423134713777,0.48236315057278034,12.296887472060961,0.9495145631067962,0.0,0.0,0.0,unknown
118,119,-2.992180209733533,-0.9629920053190517,3.1433256289842797,0.9938817131203264,0.0,0.0,0.0,unknown
119,120,-4.923602882181967,-1.584223052731062,5.172197600849672,0.9655172413793104,0.0,0.0,0.0,unknown
120,124,-4.68875093248721,-5.864062016332127,7.508102865457352,0.9701492537313433,0.0,0.0,0.0,unknown
124,125,-8.276328582703854,-3.385807817619437,8.942108777393265,0.9863760217983651,0.0,0.0,0.0,unknown
125,126,-0.3190162063547177,3.1817472981481956,3.197700300089159,0.9924398625429554,-25.448610173764834,-15.88610210847359,29.999999999618268,unknown
126,127,-7.310927388121399,0.4156947501333832,7.322735923114532,0.9955863808322825,0.0,0.0,0.0,unknown
127,129,-4.820560290624599,-4.24892892361072,6.42582278882965,0.975609756097561,0.0,0.0,0.0,unknown
129,130,-2.2780237557364558,-1.175785107057436,2.563564481279473,0.9839537869062901,0.0,0.0,0.0,unknown
130,132,-5.6123275162337904,-6.326650933085119,8.457229580576712,0.9881188118811881,0.0,0.0,0.0,unknown
